Questions,Answers,Links/Screenshots/Notes,Approved,FAQ Utterances,Keyword Utterances,Category
Can I transfer the credit from my old SIM card when I port in from another network?,"When you port your number from one network to another, the primary purpose is to retain your phone number. However, any remaining credit on your old SIM card or account typically does not transfer.

Key points about credit and number porting
Credit usually doesn't transfer – In most cases, prepaid credit or balance remains tied to the original service provider and cannot be moved to a new network.
Use up your credit – Before initiating the porting process, it's best to use any remaining balance, as it will likely be lost once the transfer is complete.
Check with both providers – Always confirm with both your current and new service provider about their policies on credit transfers or refunds.
Lyca Mobile policy – Lyca Mobile does not facilitate credit transfers or refunds when porting a number.
In summary, while you can keep your phone number when switching networks, your balance will not transfer, so it’s important to plan ahead and use any remaining credit before porting.",,Yes,"['Can I keep my existing balance when switching to Lyca Mobile?', '', 'Is it possible to transfer my credit when porting my number?', '', 'Will my remaining balance move to Lyca Mobile during port-in?', '', 'How do I transfer my prepaid balance from my old carrier?', '', 'Does Lyca Mobile support credit transfers from other networks?']","['Balance transfer', 'Credit migration', 'Port-in credit', 'Prepaid balance', 'Old SIM funds']",Account Security
"I already activated my SIM, but I still want my old number. What now?","If you've already activated your SIM card and want to keep your old number, unfortunately, we cannot replace the assigned SIM number with your previous number.

If you have any questions or need assistance, please contact our customer support team. We’re here to help with any inquiries regarding your mobile service.",,Yes,"['Can I transfer my old number after activating my new Lyca Mobile SIM?', '', 'Is it possible to port my number after SIM activation?', '', 'What should I do if I want to keep my old number after activating my SIM?', '', 'How do I switch to my previous number after activating my Lyca Mobile service?', '', 'Can I still request number porting after my new SIM is activated?']","['Post-activation porting', 'Keep old number', 'Number transfer request', 'SIM activation change', 'Port-in after activation']",Account Security
What is an APN and why is it important? ,"Access Point Name (APN) is essential for your phone to establish a connection to mobile data. It is, in a way, the identity of the mobile carrier. When setting up a new phone or inserting your SIM card for the first time, your network operator ideally sends APN details through a configuration message. These details vary by service provider; additional information about your specific APN can usually be found on the provider's website. 
While modern operating systems have introduced automatic APN configuration, making setup easier for users, there are instances where phones lack this feature or face compatibility issues, requiring manual APN configuration. 
For a seamless experience with Lyca Mobile, follow these recommendations: 
Apple users: To access Lyca Mobile service, ensure your phone is updated to the latest iOS version. After activation, don't forget to enable 5G in your phone's settings. For guidance on checking your current iOS version, click here.
Android users: Ensure your phone is running on the latest operating system to configure the APN settings. Click here for guidance on how to set up APN manually on Android phones. 
Please don't edit the APN unless directed by your carrier or mobile phone administrator. If you accidentally configure the APN incorrectly you may temporarily or permanently lose cellular data connectivity and incur additional charges.
",Link to FAQ in row 8 of Set up your phone tab,Yes,"['What does APN stand for, and why do I need it?', '', 'Why is an APN necessary for mobile internet and MMS?', '', 'How does an APN affect my network connection?', '', 'What happens if my APN settings are incorrect?', '', 'Why do I need to configure APN settings on my phone?']","['Access Point Name', 'Mobile data setup', 'Network configuration', 'Internet settings', 'APN importance']",Device Compatibility
Why do I need an APN? ,"APN is required for multiple reasons, here are a few:

1. Facilitates connection: Helps phones connect to the service provider's network. 
 
2. Enables essential features: Allows access to network features, such as making calls, sending messages, and using the internet. 
 
3. IP address selection: Aids in selecting IP addresses for improved connectivity. 
 
4. Applies security measures: Implements security measures to safeguard your phone and data. 
 
5. Network compatibility: Ensures that the phone adheres to carrier-specific network requirements. 
 
6. Traffic separation: APN can also help separate traffic from other networks, optimizing your mobile experience.
",,Yes,"['Why is setting up an APN necessary for my device?', '', 'What role does an APN play in my mobile network connection?', '', 'Can I use mobile data without configuring an APN?', '', 'How does an APN impact my internet and MMS services?', '', 'Will my phone work without an APN configuration?']","['Network access', 'Mobile data settings', 'APN setup', 'Internet connection', 'Carrier configuration']",Device Compatibility
How do I configure APN on my iPhone with iOS 16 or 15? ,"If your iPhone is operating on iOS 16 or 15, it is advisable to update your settings to fully leverage the capabilities of your new mobile service. Follow the steps below to configure your phone with the correct settings.  

  

  

Not sure which iOS your iPhone is running? Follow these steps.  

  

If you see that your phone uses iOS 16 or earlier, please continue to the following steps:   

 

  

Steps to configure your iPhone phone’s APN settings   

 

Begin in Lyca Mobile App:  

   

Select “Install Profile”  

You will be taken to a website and a pop-up will appear asking if you want to allow the download to proceed.  

Select “Allow”   

Once the profile has downloaded, select “Close”  

Return to your home screen and open Settings  

Select “Profile Downloaded” 

Select “APN” 

 

Note: You should see that the APN has been verified with a green checkmark under its name.  

 

Select “Install” 

 

A warning will appear on your screen. This is a default message from Apple but rest assured that we will not filter or monitor your phone’s traffic.  
 

Select “Install” in the top right corner once again  

Once installed, you’ll be prompted to restart your phone.  

Select “Sure, I’ll restart my phone” 

Once your phone has turned back on, you’re all set!  

 

Screenshots  ",,Yes,"['How can I manually set up an APN on my iPhone running iOS 16 or 15?', '', 'Where do I find APN settings on my iPhone with iOS 16 or 15?', '', 'What steps do I follow to configure APN on my iPhone?', '', 'How do I enter APN details on my iPhone for mobile data?', '', 'Is there a way to reset APN settings on my iPhone?']","['iPhone APN setup', 'iOS APN configuration', 'Mobile data settings', 'APN manual entry', 'Network settings']",Device Compatibility
What happens if I enter incorrect APN settings on my phone? ,"If you input incorrect Access Point Name (APN) settings, you may experience the loss of cellular data connectivity and may incur additional charges. It's crucial not to edit the APN unless explicitly directed to do so by your mobile carrier or phone administrator. Making unauthorized changes to these settings can lead to disruptions in your mobile data service and potentially result in additional costs. Always follow the guidance provided by your carrier or mobile phone administrator when dealing with APN configurations.",,Yes,"['Will my mobile data work if I enter the wrong APN settings?', '', 'What issues can arise from incorrect APN configuration?', '', 'How do incorrect APN settings affect my internet and MMS?', '', 'Can I fix network issues caused by incorrect APN details?', '', 'What should I do if my phone stops working after changing APN settings?']","['APN errors', 'Network issues', 'Incorrect settings', 'Data connection failure', 'Fix APN problems']",Device Compatibility
How do I know which iOS my phone is running?,"Follow the instructions below to figure out which iOS version your phone is running on: 

•	Open your iPhone’s Settings menu 
•	Scroll to “General” 
•	Click on “About”
•	Check your iOS version 

If your phone is not yet running on the latest iOS version, you can run a software update on your phone by going to Settings > General > Software Update > Install Update. If your phone is running on iOS 16 or 15, check these steps to configure APN settings manually.",,Yes,"['How can I check the iOS version on my iPhone?', '', 'Where do I find my iPhone’s current iOS version?', '', 'What steps do I follow to see my iOS software version?', '', 'How do I verify if my iPhone is running the latest iOS update?', '', 'Can I check my iOS version in the settings menu?']","['iPhone software version', 'Check iOS update', 'iOS version settings', 'Device information', 'Software details']",Device Compatibility
What should I do if I'm experiencing issues with my mobile service even though my APN settings are correct? ,"
If you're experiencing difficulties despite having the correct APN settings for Lyca Mobile, try these troubleshooting steps:

Restart your phone: Sometimes, a simple restart can resolve connectivity issues.

Check for software updates: Ensure that your phone has the latest software updates installed, as these updates can address bugs and enhance network performance.

Contact the Lyca Mobile customer support team: If the issue persists, reach out to our Lyca Mobile customer service at 1-866-277-3221 for further assistance. We'll help diagnose and resolve any network-related issues you may be experiencing.",,Yes,"['Why is my mobile service not working even with correct APN settings?', '', 'What troubleshooting steps can I take if my network isn’t working despite correct APN settings?', '', 'How do I fix mobile data issues when my APN settings are correctly configured?', '', 'Why am I still having connection problems after setting up the APN properly?', '', 'What else could be causing my mobile service issues if my APN is correct?']","['Network troubleshooting', 'Signal issues', 'Mobile data fix', 'Service disruption', 'Connection problem']",Device Compatibility
How do I configure APN settings on my Android device?,"Setting up Lyca Mobile APN configurations on your Android phone is easy. Just follow these straightforward steps:  

 Note: Please ensure that your phone is connected to Wi-Fi before proceeding.   

Steps to configure your Android phone’s APN settings:					  

 1. Go into your phone’s Settings   

 2. Select Connections   

 3. Select SIM card manager   

 4. Select Access Point Names (APN)   

 5. Tap the ‘+’ button in the top righthand corner	  

 6. Enter the APN Settings as they’re written below:   

Note: The settings are case sensitive, so be sure you’re entering the information exactly as it’s shown here.   

Name: ereseller

APN: ereseller

Proxy: Not set

Port: Not set

Username: Not set

Password: Not set

Server: Not set

MMSC: http://mmsc.mobile.att.net

Multimedia Message Proxy: proxy.mobile.att.net

Multimedia Message Port: 80

MCC: 310

MNC: 280

Authentication Type: Not set

APN Type: default,mms,supl,xcap,fota

APN Protocol: IPv4v6

APN Roaming Protocol: IPv4v6

MVNO type: GID

MVNO value: 20FF

Screenshots  

Once you've completed these steps, your Android phone will be all set with the correct Lyca Mobile APN settings. This ensures seamless access to mobile data and internet services, keeping you connected without interruption.  ",Screenshot,Yes,"['How can I manually set up APN on my Android phone?', '', 'Where do I find APN settings on my Android device?', '', 'What are the steps to configure APN on an Android phone?', '', 'How do I enter APN details for mobile data on my Android?', '', 'Can I reset APN settings on my Android if I face network issues?']","['Android APN setup', 'Mobile data settings', 'APN manual entry', 'Network configuration', 'APN reset']",Device Compatibility
"I just purchased a Lyca Mobile SIM card, will the data on my iPhone work if I do not have iOS 15? ","Lyca Mobile service is optimized for use with iPhones that run on the latest version, seamlessly. If you are on iOS 16 or 15, you can still utilize our services by following the provided instructions to configure your phone here. ",,Yes,"['Will my mobile data work on my iPhone if I don’t have iOS 15?', '', 'Can I use Lyca Mobile data on an older iOS version?', '', 'Do I need iOS 15 or later for my Lyca Mobile SIM to work?', '', 'What iOS version is required for Lyca Mobile data to function?', '', 'Will my internet work if my iPhone runs an older iOS version?']","['iPhone compatibility', 'iOS version requirement', 'Mobile data support', 'Lyca Mobile SIM setup', 'Network connectivity']",Device Compatibility
Can I use the same APN settings when traveling internationally?  ,"When traveling abroad, you do not need to modify your APN settings.",,Yes,"['Do I need to change my APN settings when traveling abroad?', '', 'Will my current APN settings work internationally?', '', 'How do I set up APN for international roaming?', '', 'Are APN settings different when using Lyca Mobile overseas?', '', 'What happens if I don’t update my APN settings while traveling?']","['International roaming', 'Travel APN setup', 'Roaming settings', 'Network abroad', 'Mobile data overseas']",Device Compatibility
How do I unlock the phone I am bringing over from my current carrier?,"Unlocking your phone from your current carrier typically involves the following steps:

1. Check carrier policies: First, verify if your current carrier allows phone unlocking. Each carrier may have specific criteria for eligibility, such as completing your contract, paying outstanding bills, or fulfilling phone installment plans.

2. Contact your carrier: Reach out to your current carrier's customer service or visit their website to begin the unlocking process. They will provide you with guidance on the necessary steps and any requirements you need to fulfill.

You may need to provide various details, including your account information, phone number, and IMEI number. You can find your IMEI number in your phone's settings or by dialing *#06# on your phone. In some cases, a written request may also be required.

Your carrier will provide you with specific instructions on how to complete the unlocking process. This may involve entering a code provided by the carrier or performing a reset on your phone.

Once your phone is successfully unlocked, you'll have the freedom to use it with Lyca Mobile.",,Yes,"['What steps do I take to unlock my phone from my current carrier?', '', 'How can I check if my phone is unlocked before switching to Lyca Mobile?', '', 'Do I need to contact my carrier to unlock my phone?', '', 'Are there any requirements to unlock my phone from my provider?', '', 'How long does it take to unlock a phone from a carrier?']","['Carrier unlock', 'Phone unlocking process', 'Device eligibility', 'Unlock request', 'Network restrictions']",Bring Your Phone
"
Can I use my current phone with Lyca Mobile, or do I need to buy a new one?","Absolutely! You can bring your compatible, unlocked phone to Lyca Mobile. To ensure compatibility with our network, please provide your phone’s 15-digit IMEI number.

To locate your IMEI number:

For iPhone users: Go to Settings > General > About.
For Android users: Go to Settings > About Phone > Status.
You can verify your phone's compatibility with Lyca Mobile here.

Any phone running the latest operating system with a SIM card slot (or supports eSIM) is compatible with our service. If your phone is locked or under contract, please contact your current carrier to unlock it for use on our network.",Link to phone compatibility on the Homepage.,Yes,"['Will my current phone work with Lyca Mobile?', '', 'Do I need a new device to use Lyca Mobile?', '', 'How can I check if my phone is compatible with Lyca Mobile?', '', 'Is my phone unlocked and ready for Lyca Mobile?', '', 'Can I bring my own device to Lyca Mobile?']","['Phone compatibility', 'Device check', 'Unlocked phone', 'Bring your own device', 'Network support']",Bring Your Phone
What is the main requirement for iPhones to use Lyca Mobile services?,"To access Lyca Mobile service, make sure your phone is running the latest iOS version. If your phone is on iOS 16 or 15, you can still utilize our services by following the instructions given here to configure your phone. However, for an optimal experience, we advise updating your iOS to the latest version. ",Link,Yes,"['What does my iPhone need to work with Lyca Mobile?', '', 'Are there any specific requirements for iPhones on Lyca Mobile?', '', 'Does my iPhone need to be unlocked to use Lyca Mobile?', '', 'Which iPhone models are compatible with Lyca Mobile?', '', 'Do I need a specific iOS version for Lyca Mobile to work?']","['iPhone compatibility', 'Unlocked device', 'iOS requirement', 'Network support', 'Carrier settings']",Bring Your Phone
How can I unlock my phone?,"If your phone is currently locked with your existing carrier, it's advisable to reach out to their customer support for assistance. If your phone is fully paid for and your contractual obligations have ended, they may unlock it for free. However, if there are any outstanding balances or if you're still under a contractual agreement, you'll need to settle any dues before proceeding. It's important to note that early termination fees may apply if your contract is still active.",,Yes,"['What steps do I need to take to unlock my phone?', '', 'How do I request an unlock from my current carrier?', '', 'Can I unlock my phone myself, or do I need carrier approval?', '', 'How long does it take to unlock a phone?', '', 'Are there any requirements to unlock my device?']","['Phone unlocking', 'Carrier unlock request', 'Device eligibility', 'Network unlock code', 'Unlock process']",Bring Your Phone
What is an unlocked phone and how can I determine if my phone is unlocked?,"An unlocked phone is not tied to a specific carrier, allowing it to work with different carriers by inserting a compatible SIM card. Before unlocking, ensure any outstanding payments with your current carrier are settled. For assistance or inquiries, contact your current carrier.

Please note that if your phone hasn't been fully paid off with your current carrier, you may need to settle any outstanding dues with them before unlocking your phone. If you have any doubts or encounter difficulties, reach out to your current carrier for assistance in unlocking your phone.

To determine if your phone is unlocked and ready for use with Lyca Mobile, follow these steps:

For iPhone:

Open Settings.
- Tap on ""Cellular.""
- Under the Cellular menu, look for the ""Cellular Data"" option.
- If you see ""Cellular Data,"" your iPhone is likely unlocked and compatible with 
- Lyca Mobile. If you don't find the ""Cellular Data Network,"" your phone may still be locked. In this case, contact your current carrier to get it unlocked.

For Android:

Since Android covers a wide range of phones, the most accurate instructions for checking if your phone is locked can often be found by searching for your specific model online. ",,Yes,"['What does it mean for a phone to be unlocked?', '', 'How can I check if my phone is unlocked or carrier-locked?', '', 'Will an unlocked phone work with any carrier?', '', 'What steps do I follow to verify my phone’s unlock status?', '', 'Can I unlock my phone if it’s currently locked to a carrier?']","['Unlocked device', 'Carrier lock status', 'SIM compatibility', 'Network freedom', 'Phone eligibility']",Bring Your Phone
Can Lyca Mobile unlock my phone?,"Unfortunately, Lyca Mobile cannot unlock your phone. If your phone is currently locked to a particular carrier, you'll need to reach out to that carrier directly to request an unlock. Once your phone is unlocked, you'll be able to use Lyca Mobile services seamlessly.",,Yes,"['Does Lyca Mobile provide phone unlocking services?', '', 'Can Lyca Mobile unlock a device locked to another carrier?', '', 'Will Lyca Mobile help me unlock my phone if it’s carrier-locked?', '', 'Does Lyca Mobile offer phone unlocking for new customers?', '', 'How can I unlock my phone before switching to Lyca Mobile?']","['Carrier unlock support', 'Phone unlocking service', 'Device eligibility', 'Network restrictions', 'Unlock request']",Bring Your Phone
What if my phone isn’t compatible?,"
If your current phone isn't compatible with Lyca Mobile's network, don't worry – here are a few ways you can ensure optimal connectivity. Consider the following options:

If you prefer to keep your current phone, try updating the Access Point Name (APN) settings. You can find a detailed step-by-step guide in our FAQs to properly configure your phone.

Another option is to acquire an unlocked phone from a reputable third-party seller or directly from a manufacturer. Before making a purchase, ensure to verify the phone's compatibility with the Lyca Mobile network requirements and check for a warranty for added assurance.",Link to Phone compatibility,Yes,"['What should I do if my phone doesn’t work with Lyca Mobile?', '', 'Can I still use Lyca Mobile if my device is incompatible?', '', 'How can I check if my phone is supported by Lyca Mobile?', '', 'Are there alternative options if my phone isn’t compatible?', '', 'Do I need to buy a new phone if mine doesn’t work with Lyca Mobile?']","['Device compatibility', 'Phone upgrade options', 'Network support', 'IMEI check', 'Alternative solutions']",Bring Your Phone
What is 5G and what does it do?,"5G is the 5th generation mobile network. It’s a new global wireless standard after 1G, 2G, 3G, and 4G networks. It enables a new kind of network that is designed to connect everyone and everything together including machines, objects, and phones. It also ensures that you have reliable network connectivity and faster speeds.",,Yes,"['What is 5G technology, and how does it work?', '', 'How is 5G different from 4G?', '', 'What benefits does 5G offer for mobile users?', '', 'Will 5G improve my internet speed and connectivity?', '', 'Do I need a special phone or plan to use 5G?']","['High-speed network', 'Next-generation connectivity', 'Ultra-fast data', 'Low latency', 'Enhanced mobile experience']",5G
Can I enable 'Allow More Data on 5G' on my old phone? ,The ‘Allow More Data on 5G’ option may not be available on older phones that do not support 5G connectivity. You may need to upgrade your phone to take advantage of 5G speeds and features. ,,Yes,"['Is the ‘Allow More Data on 5G’ feature available on older iPhones?', '', 'Can I activate ‘Allow More Data on 5G’ on a non-5G phone?', '', 'Does my device support the ‘Allow More Data on 5G’ option?', '', 'How do I check if my phone can use ‘Allow More Data on 5G’?', '', 'Will enabling ‘Allow More Data on 5G’ work on an unsupported device?']","['5G data settings', 'Device compatibility', 'Network features', 'iPhone data mode', 'Mobile data speed']",5G
Can I enable 'Allow More Data on 5G' only for specific apps? ,"No, the ‘Allow More Data on 5G’ option applies to all apps and system services that use cellular data on your phone. You cannot enable it for specific apps only. ",,Yes,"['Is it possible to enable ‘Allow More Data on 5G’ for selected apps?', '', 'Can I control which apps use ‘Allow More Data on 5G’?', '', 'How do I limit ‘Allow More Data on 5G’ to certain applications?', '', 'Does iOS allow app-specific settings for ‘Allow More Data on 5G’?', '', 'Can I manage mobile data usage for different apps on 5G?']","['App data control', '5G data management', 'Selective data usage', 'iOS network settings', 'Mobile data preferences']",5G
Will enabling 'Allow More Data on 5G' drain my phone's battery faster? ,"Enabling ‘Allow More Data on 5G’ may slightly increase your phone’s battery usage, as it uses more cellular data when connected to the 5G network. However, this may not be noticeable in day-to-day usage, and the benefits of faster download and upload speeds may outweigh the minor increase in battery usage. ",,Yes,"['Does using ‘Allow More Data on 5G’ affect battery life?', '', 'Will my phone battery drain faster if I enable ‘Allow More Data on 5G’?', '', 'How does ‘Allow More Data on 5G’ impact battery performance?', '', 'Is there a way to reduce battery drain while using 5G?', '', 'Does keeping ‘Allow More Data on 5G’ on all the time consume more power?']","['Battery consumption', 'Power efficiency', '5G energy usage', 'Phone battery drain', 'Data mode impact']",5G
Why does my phone prefer 5G over Wi-Fi when 'Allow More Data on 5G' is enabled? ,"When the ‘Allow More Data on 5G’ option is enabled on your phone, it may prefer to use cellular data on the 5G network instead of Wi-Fi, as it provides faster download and upload speeds. However, this may depend on your location, signal strength, and network availability. ",,Yes,"['Why does my phone prefer 5G over Wi-Fi when ""Allow More Data on 5G"" is enabled?', 'How does enabling ""Allow More Data on 5G"" affect Wi-Fi usage?', 'What is the impact of ""Allow More Data on 5G"" on data connection preferences?', 'Why does my smartphone choose 5G instead of Wi-Fi for high data usage?', 'How does my phone prioritize 5G when both Wi-Fi and mobile data are available?']","['5G data preference', 'Allow More Data on 5G', 'Mobile data prioritization', 'Wi-Fi over 5G settings', 'Smartphone data management']",5G
Do I need to pay extra to access Lyca Mobile’s 5G network? ,"No, access to Lyca Mobile’s 5G network is included in your current cell phone plan. ",,Yes,"['What are the costs for using Lyca Mobile’s 5G network?', 'Can I use 5G on Lyca Mobile without additional charges?', 'Does Lyca Mobile include 5G access in their regular plans?', 'Are there any hidden fees for accessing 5G on Lyca Mobile?', 'What do I need to do to access 5G on Lyca Mobile?']","['5G compatibility', 'Lyca Mobile pricing', '5G network plan', 'mobile data costs', 'network access fees']",5G
How to switch from 4G to 5G on my iOS phone? ,"To transition from 4G to 5G on your iOS phone, begin by confirming your phone’s compatibility. You can do this by referring to the manufacturer’s specifications or visiting the phone manufacturer’s website. Most modern iOS phones can use 5G, but it’s crucial to verify before attempting the switch.

Go into your phone’s Settings
Select Cellular
Select Cellular Data Options
Note: You should see Roaming Off as the existing setting.
Select Voice and Data
Select 5G Auto
Once selected, select Back to return to the Cellular Data Options
Select Data Mode
Select Allow More Data on 5G

Now you’ll be able to take full advantage of your 5G mobile service!

After enabling 5G, it’s good practice to restart your phone. This ensures that the new settings take effect properly. Once your phone restarts, you should see a 5G indicator in the status bar when you’re connected to a 5G network. Keep in mind that the appearance of the indicator may vary based on your iOS version and carrier.

Please note that there won’t be an option specifically labeled “Allow more Data” for 5G. Learn more on how to use 5G cellular service.",Screenshot,Yes,"['How can I switch my iPhone from 4G to 5G?', 'What steps should I take to enable 5G on my iOS device?', 'How do I change my cellular settings to 5G on iPhone?', 'What do I need to do to activate 5G on my iPhone?', 'How do I make my iPhone use 5G instead of 4G?']","['iPhone 5G settings', 'Cellular data options', 'Enable 5G iOS', 'iPhone 5G activation', 'Switch to 5G']",5G
What is Wi-Fi calling and texting?,"Wi-Fi calling & text allows you to make and receive voice calls or texts over a Wi-Fi connection when cellular signal strength is weak or unavailable. Instead of connecting directly to the carrier’s network, Wi-Fi calling & text uses your local Wi-Fi to ensure seamless communication.",,Yes,"['What is the function of Wi-Fi calling and texting?', 'How does Wi-Fi calling work on smartphones?', 'What are the benefits of Wi-Fi texting and calling?', 'Why should I enable Wi-Fi calling on my phone?', 'How do Wi-Fi calling and texting improve communication?']","['Wi-Fi calling feature', 'Wi-Fi texting', 'Cellular signal enhancement', 'Internet-based calls', 'Wi-Fi calling benefits']",Wi-Fi Calling
What is E911 address for Wi-Fi Calling? How do I manage it?,"Your E911 address for Wi-Fi Calling is the designated location associated with your mobile number. Enabling Wi-Fi Calling requires registering a specific address on your phone, ensuring that during a 911 call over Wi-Fi, emergency services can swiftly locate you.

Updating your E911 address is typically necessary before activating your service to comply with safety regulations and ensure prompt emergency responses.

To update your E911 address, access the same screen where you enabled Wi-Fi Calling and modify your location information.

If you relocate to a new address, ensure to update your E911 address promptly. Failure to update it may lead emergency services to the wrong location during a 911 call made using Wi-Fi Calling. Keeping your E911 address current whenever you change your primary location is crucial for your safety.",,Yes,"['What is an E911 address for Wi-Fi calling?', 'How do I manage my E911 address for Wi-Fi calling?', 'Why is an E911 address important for Wi-Fi calling?', 'How do I update my E911 address for emergency calls on Wi-Fi?', 'What should I do if my E911 address is incorrect for Wi-Fi calling?']","['E911 address', 'Wi-Fi calling setup', 'Emergency location services', 'Wi-Fi calling management', 'Update E911 address']",Wi-Fi Calling
Why do I need to provide an emergency address?,"When you first enable Wi-Fi calling, you must provide your primary street address, known as your e911 registered address. This address is shared with our underlying carrier, so if you call 911 over Wi-Fi, they can transmit your e911 registered address to the 911 communications center, which may use it to help emergency responders find you.

How to set up or update your e911 address
Call Lyca Mobile customer service
Visit a Lyca Mobile retailer in your area
Updating your e911 registered address
If you plan to use Wi-Fi calling at a different location than your e911 registered address, you must update it. You can do this by:

Contacting Lyca Mobile customer service
Visiting a Lyca Mobile retailer
Keeping your e911 address up to date ensures that emergency services can accurately locate you in case of an emergency.",,Yes,"['Why is it necessary to provide an emergency address for Wi-Fi calling?', 'What happens if I don’t provide an emergency address for emergency calls?', 'How does an emergency address help during a 911 call?', 'Why does Wi-Fi calling require an emergency address?', 'What should I do if I haven’t updated my emergency address for Wi-Fi calling?']","['Emergency address', 'Wi-Fi calling requirements', '911 call location', 'Location services', 'Emergency response accuracy']",Wi-Fi Calling
What else do I need to do so that I may use Wi-Fi calling?,"You must have an active Lyca Mobile account with a valid 30-day service plan to use Wi-Fi calling. Additionally, ensure that:

Your device supports Wi-Fi calling
You have a stable internet connection with a minimum upload and download speed of 2 Mbps",,Yes,"['What are the steps to enable Wi-Fi calling on my phone?', 'How do I set up Wi-Fi calling on my device?', 'Do I need to do anything else after enabling Wi-Fi calling?', 'What settings do I need to configure for Wi-Fi calling to work?', 'What should I check before using Wi-Fi calling on my phone?']","['Wi-Fi calling setup', 'Enable Wi-Fi calling', 'Wi-Fi calling settings', 'Phone configuration', 'Wi-Fi calling requirements']",Wi-Fi Calling
What are the advantages of enabling and using Wi-Fi calling & texting?,"As long as you’re connected to a local Wi-Fi network, you can use your mobile device to make and receive calls and send and receive SMS messages just like you would on a cellular network. This allows you to stay connected even in areas with limited or no cellular signal.",,Yes,"['What benefits do I get from using Wi-Fi calling and texting?', 'How does Wi-Fi calling improve call quality?', 'What are the advantages of texting over Wi-Fi instead of cellular data?', 'Why should I enable Wi-Fi calling and texting on my phone?', 'How does Wi-Fi calling help when cellular signals are weak?']","['Wi-Fi calling benefits', 'Texting over Wi-Fi', 'Call quality improvement', 'Cellular signal enhancement', 'Wi-Fi calling advantages']",Wi-Fi Calling
Can I make international calls using Wi-Fi?,"Yes, you can! However, if you're calling a destination that isn't included as unlimited in your current plan, international Wi-Fi calling will deduct from your main balance, just as it would when using the cellular network.",,Yes,"['Is it possible to make international calls using Wi-Fi?', 'How do I make international calls over Wi-Fi?', 'Can I use Wi-Fi for international calling without extra charges?', 'What are the advantages of using Wi-Fi for international calls?', 'How does Wi-Fi calling work for international calls?']","['International calls', 'Wi-Fi calling', 'Wi-Fi for international communication', 'Global calling', 'Wi-Fi calling charges']",Wi-Fi Calling
Can I use Wi-Fi calling & texting while roaming internationally?,"Yes! As long as your device supports Wi-Fi calling & text and you're connected to a Wi-Fi network, you can make and receive calls and send and receive SMS messages while roaming outside the U.S.",,Yes,"['Can I use Wi-Fi calling and texting while traveling internationally?', ""How does Wi-Fi calling work when I'm roaming abroad?"", 'Is Wi-Fi calling available when roaming internationally?', 'Can I avoid roaming charges by using Wi-Fi calling and texting abroad?', 'What should I know about Wi-Fi calling and texting while roaming?']","['Wi-Fi calling roaming', 'International roaming', 'Roaming charges', 'Texting over Wi-Fi abroad', 'Wi-Fi calling availability']",Wi-Fi Calling
How can I make sure my device is set up to support Wi-Fi calling & texting?,"Follow these steps to enable Wi-Fi calling & text on your Android device:

Enable Wi-Fi calling & text
Open your phone keypad and tap “More”.
Select “Settings”.
Find Wi-Fi calling & text and enable it.
Set your Wi-Fi calling & text preferences
Tap Wi-Fi calling & text (do not tap the “Enable/Disable” button).
Select “Connection Preferences” and choose one of the following:
Wi-Fi preferred – Your phone will use a Wi-Fi network instead of a cellular network when available.
Cellular network preferred – Your phone will only use Wi-Fi for calls if no cellular network is available.
Never use cellular network – Your phone will only use Wi-Fi for calls.
Activate Wi-Fi calling & text on your Lyca Mobile account
To activate Wi-Fi calling & text, complete one of the following:

Log in to your My Lyca account and enable Wi-Fi calling.
Visit a Lyca Mobile retailer for assistance.
Once activated, you can enjoy seamless calling and texting over Wi-Fi, even when cellular coverage is weak.",,Yes,"['How do I check if my device supports Wi-Fi calling and texting?', 'What settings should I enable to ensure Wi-Fi calling works on my device?', 'How can I confirm that Wi-Fi calling is activated on my phone?', 'What do I need to do to set up Wi-Fi calling and texting on my device?', 'How can I troubleshoot if Wi-Fi calling isn’t working on my phone?']","['Wi-Fi calling setup', 'Device compatibility', 'Enable Wi-Fi texting', 'Wi-Fi calling activation', 'Wi-Fi calling troubleshooting']",Wi-Fi Calling
What is call forwarding and how does it work?  ,"Call forwarding is a convenient feature that allows you to easily redirect incoming calls from one phone number to another of your choice. Once activated, calls to your primary phone number will smoothly transfer to the selected forwarding number. This ensures that you remain reachable and do not miss important calls, providing a reliable way to stay connected.",,Yes,"['What is the purpose of call forwarding?', 'How do I set up call forwarding on my phone?', 'How does call forwarding work on mobile and landline phones?', 'What are the benefits of using call forwarding?', 'Can I forward calls to another phone number?']","['Call forwarding setup', 'Call forwarding features', 'Phone forwarding settings', 'Call redirection', 'Forward calls to another number']",Call Forwarding
Is there an extra charge for call forwarding?,"No, there are no extra charges for call forwarding.",,Yes,"['Does call forwarding incur any additional charges?', 'Are there extra fees for using call forwarding on my phone?', 'How much does it cost to forward calls?', 'Is there a charge for forwarding calls to another number?', 'Does call forwarding affect my phone bill?']","['Call forwarding charges', 'Extra fees', 'Phone bill costs', 'Call redirection fees', 'Forwarding calls cost']",Call Forwarding
